Serial Num,Movie Name,Movie Genre,Movie Rating,,,,,,,,,
47,Beyond Rangoon,"Adventure/Drama",3.3,,,,,,,,,
48,Blue in the Face,"Comedy/Drama",3.3,,,,,,,,,
49,Canadian Bacon,Comedy,2.9,,,,,,,,,
50,Casper,Adventure,3.05,,,,,,,,,
51,Clockers,"Crime/Drama/Mystery",3.4,,,,,,,,,
52,Congo,"Action/Adventure/Mystery/Sci-Fi",2.5,,,,,,,,,
53,The Doom Generation,"Comedy/Crime/Drama",3,,,,,,,,,
54,Feast of July,Drama,3.15,,,,,,,,,
55,First Knight,"Action/Drama/Romance",2.9,,,,,,,,,
56,Free Willy 2: The Adventure Home,"Adventure/Drama",2.4,,,,,,,,,
57,Hackers,"Action,Adventure/Crime/Thriller",3.1,,,,,,,,,
58,Jeffrey,"Comedy/Drama",3.3,,,,,,,,,
59,Johnny Mnemonic,"Action/Sci-Fi/Thriller",2.8,,,,,,,,,
60,Judge Dredd,"Action/Crime/Sci-Fi",2.7,,,,,,,,,
61,Jury Duty,Comedy,2,,,,,,,,,
62,Kids,Drama,3.5,,,,,,,,,
63,Living in Oblivion,Comedy,3.7,,,,,,,,,
64,Lord of Illusions,Horror,3.05,,,,,,,,,
65,Love & Human Remains,"Comedy/Drama",3.3,,,,,,,,,
66,Mad Love,"Drama/Romance",2.6,,,,,,,,,
67,Mallrats,"Comedy/Romance",3.6,,,,,,,,,
68,What Men Talk About,Comedy,3.8,,,,,,,,,
69,Moonlight and Valentino,"Drama/Romance",2.9,,,,,,,,,
70,Mute Witness,"Comedy/Horror/Thriller",3.4,,,,,,,,,
71,Nadja,Drama,3,,,,,,,,,
72,The Net,"Action/Crime/Thriller",2.9,,,,,,,,,
73,Nine Months,"Comedy/Romance",2.7,,,,,,,,,
74,Party Girl,Comedy,3.3,,,,,,,,,
75,The Prophecy,"Fantasy/Horror/Mystery",3.3,,,,,,,,,
76,Reckless,"Comedy/Fantasy",3.1,,,,,,,,,
77,The Forest of Hands and Teeth,"Action/Drama/Romance/Thriller",3.6,,,,,,,,,
78,The Little Mermaid,"Adventure/Fantasy/Romance",3.8,,,,,,,,,
79,The Looking Glass Wars,Fantasy,3.9,,,,,,,,,
80,Vampire Academy,"Action/Comedy/Fantasy/Horror/Mystery",2.75,,5.5,,,,,,,
81,Wicked Lovely,"Fantasy/Romance",3.7,,,,,,,,,
82,One for the Money,"Action/Comedy/Crime/Romance/Thriller",2.65,,5.3,,,,,,,
83,Paranormalcy,"Adventure/Fantasy/Mystery",3.9,,,,,,,,,
84,The Chronicles of Narnia: The Magician's Nephew,"Action/Adventure/Fantasy",4,,,,,,,,,
85,The Hunger Games: Mockingjay - Part 1,"Action/Adventure/Sci-Fi/Thriller",3.35,,6.7,,,,,,,
86,London After Midnight,"Drama/Horror",3.4,,,,,,,,,
87,Dog Day (Canicule),"Action/Crime/Drama/Thriller",2.9,,,,,,,,,
88,The Klansman,"Action/Drama/Thriller",2.5,,,,,,,,,
89,Wake,Thriller,2.8,,,,,,,,,
90,The Twilight Saga: Breaking Dawn - Part 1,"Adventure/Drama/Fantasy/Romance",2.45,,4.9,,,,,,,
91,The Host,"Action/Adventure/Romance/Sci-Fi/Thriller",2.95,,5.9,,,,,,,
92,The Way Back,"Adventure/Drama",3.65,,7.3,,,,,,,
93,Barney's Version,"Comedy/Drama",3.65,,7.3,,,,,,,
94,Submarine,"Comedy/Drama/Romance",3.65,,7.3,,,,,,,
95,Oranges and Sunshine,Drama,3.55,,7.1,,,,,,,
96,Gomorra,"Crime/Drama",3.5,,7,,,,,,,
97,Three Quarter Moon,"Comedy/Drama",3.5,,,,,,,,,
98,Gentlemen,"Drama/Romance/Thriller",3.5,,,,,,,,,
99,A Second Chance,Drama,3.4,,,,,,,,,
100,Standby,"Comedy/Romance",2.9,,,,,,,,,
